time,L,MLT,MLAT,R,RMS,Skewness,Kurtosis,Intermittency,Scale_Flatness,DFA_alpha,DFA_alpha_err,Hurst,Hurst_err,Higuchi_FD,Shannon_Entropy,Permutation_Entropy,Wavelet_Entropy,Spectral_Slope,Spectral_Slope_err,Spectral_Break,Storm_Phase
2015-02-28 23:59:58.187176,6.053570753124999,22.89286159375,-4.465280256249999,5.6961073875,3.865219091404376,-0.2792568723990258,0.1017581938947214,0.026281843073172828,2.3512060527498004,1.5227263040707157,0.017989261249519838,1.5227263040707157,0.017989261249519838,0.6720722617406709,4.62307579738645,0.9303322825423503,0.835295846588934,-2.2308473014393733,0.1883155872453439,0.20499983478994813,Main Phase
2015-03-01 00:09:58.190289,5.9731896197916665,23.01430434375,-4.268764521875,5.6448600197916665,5.298907280003369,0.6222520801687524,1.713084494619899,1.141212593158679,2.2405879031983194,1.6724415242644373,0.041564120808806365,1.6724415242644373,0.041564120808806365,0.8103309422151741,4.889937168596111,0.9216597132950342,0.8991794516776215,-3.5819063056311506,0.2404362695757375,0.23666656158968882,Main Phase
2015-03-01 00:19:58.193364,5.8716442125,23.138519979166666,-4.0668181229166676,5.581890726041667,2.335586069691597,0.2697004171032332,0.01736133921859384,2.1611285185871454,2.247939549485414,1.588524753668087,0.02869030114076846,1.588524753668087,0.02869030114076846,0.9950369466531835,4.5327102825347705,0.9249963621362652,0.898765619732265,-2.7852148635530485,0.20886306286699072,0.2216674136563241,Main Phase
2015-03-01 00:29:58.196438,5.7577689,23.26605910416667,-3.8595840124999996,5.506987096875,2.775790915715821,-0.5070043220413378,-1.2603235243704125,2.213694654273808,2.26561638886447,1.7207983808571097,0.026694754436117914,1.7207983808571097,0.026694754436117914,1.002965980352103,3.533072617397595,0.9361099640972093,0.8727111760701707,-3.051321534543635,0.2555377264264324,0.1283341839085048,Main Phase
2015-03-01 00:39:58.199511,5.62328190625,23.3975958125,-3.647062613541667,5.419914313541667,2.5662033085310414,0.5349392857336231,-0.893886234469611,2.3116775834035828,2.2413510858373136,1.7107937841609882,0.02107478532687857,1.7107937841609882,0.02107478532687857,1.0313844253491273,3.958724030087865,0.9310595936498878,0.8626930315455745,-3.605841888608058,0.3240362979751409,0.17499996825648123,Main Phase
2015-03-01 00:49:58.202547,5.482630111979168,23.533958424479163,-3.4291235403645834,5.3203746783854164,4.822879251152546,-0.7538305772741565,-0.009446371987808178,2.3616941917251086,2.2323881337870026,1.7117766975918216,0.024594983095260474,1.7117766975918216,0.024594983095260474,1.051283570244716,4.314984423914187,0.9231695694813311,0.8197676445151829,-2.6260256222232887,0.3058395853220225,0.23166694624332473,Main Phase
2015-03-01 00:59:58.205601,5.338812884114583,23.67606515625,-3.2054961497395835,5.208021140624999,0.810210452163779,-0.18932582749018115,-0.30285732582255465,2.35027528115525,2.2436147488742195,1.5708858131149348,0.022415654671180556,1.5708858131149348,0.022415654671180556,1.0387983845099238,4.478814047385259,0.9197784242607989,0.8012599152683595,-3.068049525220596,0.3101574208306669,0.14500014209898124,Main Phase
2015-03-01 01:09:58.208595,5.185202412760416,23.824917695312504,-2.9757254361979166,5.082443920572917,1.8029976776265502,0.1694334168368831,-0.32468801295851435,2.355290410707214,2.2924276539535464,1.6080098690186062,0.03212897924067351,1.6080098690186062,0.03212897924067351,1.0367395147716791,4.734689721173708,0.9313092134418339,0.8531464587184647,-3.1488950787929593,0.28787281712374907,0.23333284231854373,Main Phase
2015-03-01 01:19:58.211609,5.0272949765625,18.05377019442708,-2.7391694088541665,4.943168257812501,3.122619643581436,-0.37673530087079987,-0.9648507097886001,1.96761029711719,2.3444591889882136,1.5585440341295673,0.023761237251651073,1.5585440341295673,0.023761237251651073,0.9353543699759873,4.012137587323261,0.9323830834057042,0.8639392092661271,-2.6411274768463846,0.2616314942700104,0.2999999381102969,Main Phase
2015-03-01 01:29:58.214582,4.855804541666666,0.14849966885416666,-2.4949588463541668,4.789639332031251,8.347692030131983,0.17370571987066816,-0.9407108040263554,1.865419352897974,2.3617928713718817,1.6881173775698772,0.018619996474422675,1.6881173775698772,0.018619996474422675,0.8731546537369425,4.1757722425964205,0.9452063376223291,0.8884556873415331,-2.2200306957210625,0.23558593058255853,0.2875526820844498,Main Phase
2015-03-01 01:39:58.217556,4.670327904427083,0.32672455609375,-2.24196378671875,4.621215158072917,14.456101108204352,-0.23550302041672305,-0.16548177258945396,1.835341690156497,2.353430225758085,1.7124506306665856,0.022266458575952015,1.7124506306665856,0.022266458575952015,0.8515156343119459,4.46483444025286,0.9510207378086735,0.8937060717753531,-3.2226002733891486,0.22816613617315662,0.2499997161590196,Main Phase
2015-03-01 01:49:58.220570,4.4754263515625,0.5190432465625001,-1.9787258859375,4.4371480640625,21.31021812149569,1.224968083098003,-0.07327256185000053,0.21181429112599925,3.356872488762269,1.6634769292492162,0.05273055346740448,1.6634769292492162,0.05273055346740448,0.7353664145734818,4.674963589116095,0.9430794713624178,0.8973460238454974,-2.6218132516862123,0.177777549595169,0.13833314842380495,Main Phase
